isbn,title,author,publisher,year,stock
614689398-6,"Glenn, the Flying Robot",Yoko Sprason,Keeling Inc,1993,42
972662158-5,Wicked Blood,Trina Mirfin,"Mann, Gerlach and Willms",1996,44
350952614-7,"Cheshire Murders, The",Marney Craney,Hackett-Cassin,1999,48
197801866-5,"Room with a View, A",Demeter Figura,Jakubowski LLC,1993,18
616380323-X,As it is in Heaven (Så som i himmelen),Andrea Dunphy,Hegmann-Cruickshank,1994,70
459490877-2,Die,Rhetta Guise,Pouros-Rempel,1998,10
095903977-5,D.L. Hughley: Reset,Zondra Rotte,Corwin-Kiehn,2007,79
346237335-8,33 Postcards,Pinchas Whitehouse,"Bogan, Smith and Sipes",2010,64
358965151-2,"Cat's Meow, The",Seymour McConnachie,Friesen Group,2012,24
855629044-2,Comes a Bright Day,Graig Mordue,Goldner Inc,1989,44
445701826-0,Unmistaken Child,Arv O'Hallagan,Hettinger-Schowalter,2011,4
784677875-7,King of Jazz,Jakob Paradis,Hartmann Group,1995,89
241255519-2,True Heart Susie,Stacia Yetman,Breitenberg-Ondricka,2005,14
038925031-7,"Book of Eli, The",Jefferson McCart,Nienow and Sons,1993,16
871957667-6,Friends with Money,Kaye Roddick,Konopelski Inc,1993,33
441520475-9,100 Feet,Paige Organ,"Kuhlman, Bashirian and Walsh",2003,54
601026579-7,Barefoot (Barfuss),Jasun Pierrepoint,"Hamill, Lubowitz and O'Keefe",1999,88
369046392-0,Stolen,Caleb Milburn,"Schuster, Brown and Ward",1999,26
896558885-5,In the Folds of the Flesh,Gertrud Carnock,"Hackett, Abbott and VonRueden",2009,87
685005154-7,Casino,Berkly Babe,Pagac Inc,2005,70
536301588-9,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Matthew Peddie,"Ruecker, Thiel and Grant",1997,31
076772198-5,Ocean Waves (Umi ga kikoeru),Any Kerley,Bechtelar-Ryan,2000,81
393770722-0,Seven Ways from Sundown,Osbourn O'Meara,Gerlach LLC,1999,63
534590141-4,"Velocity of Gary, The",Claudius Heavens,"Emard, Herzog and Stracke",1995,93
882318209-3,All the King's Men,Andrej Vanyushkin,Brakus Inc,1986,70
533306018-5,Goldfinger,Zena Wragg,Mayert Inc,2002,97
697743930-0,Hotel,Ettore Dorken,Kihn-Stark,1998,18
927747859-4,"Glass Key, The",Pam Coleshill,Beer-Bartoletti,2006,97
760756310-5,Suicide Killers,Jessika Cheal,"Schultz, Rohan and Heller",2010,75
863580990-4,"To Do List, The",Nobie Grouer,Little-Crist,2009,49
068837774-2,Human Touch,Reagen Lilywhite,Brown-Kiehn,1993,49
324285518-3,Astro Boy,Munmro Cordie,"Windler, Reynolds and Schamberger",2007,9
796843574-9,Rocket Singh: Salesman of the Year,Shanna Tuffin,Nicolas-Kerluke,2005,28
439195925-9,'Til There Was You,Vivyan Leahair,Nikolaus-Wolff,1998,42
735690811-5,Bye Bye Birdie,Joellyn Toplis,Kihn-Ernser,2005,9
375851600-5,"Talk of the Town, The",Brand Tregunnah,"Yundt, Gorczany and Cassin",2006,13
209904854-1,In the Name of the King 2: Two Worlds,Damaris Thorogood,Halvorson-Cassin,2006,54
278828212-5,War of the Dead - Stone's War ,Broddie Rennocks,Purdy and Sons,2006,75
337856568-3,"Cat's-Paw, The",Chandler Boud,"Wiegand, Leuschke and Dibbert",1999,22
997666447-8,"American President, The",Donnamarie Karlolczak,Gutkowski-Rodriguez,1992,96
106011521-2,Matewan,Lola Gunny,Hand-Wolf,2005,60
041402201-7,"Girl on the Train, The",Mathilda Whatson,"Nicolas, Nitzsche and Ruecker",2003,28
846504311-6,Home for Christmas (Hjem til jul),Bud Maguire,Conroy-Spinka,2002,13
113767601-9,Haute Cuisine,Kit MacCostigan,Jerde Group,2005,19
570081616-4,Willard,Lena Niles,Stark-Lubowitz,1997,99
375795868-3,Linda Linda Linda,Simone Kornyshev,Boyer LLC,2004,84
713885904-X,"Football Factory, The",Demetris Lafford,Cartwright and Sons,1994,97
111486974-0,Stripes,Shelby Keppie,Brown Group,1999,72
382007734-0,Family Guy Presents Stewie Griffin: The Untold Story,Isabel Florentine,Keeling-Reilly,1962,74
072913692-2,Americathon,Reinaldo Tixall,Willms-Hammes,1997,22
442732988-8,Neverwas,Christie Hancke,"Reinger, Carter and Reinger",1997,59
835433990-4,Fright Night,Katerina Lodwick,Collins-Jerde,1987,57
806802844-7,Boys Life 2,Ursulina Leppingwell,Bayer-Beer,2010,45
124304589-2,"Object of My Affection, The",Lacey Cutchee,"Connelly, Prosacco and Kiehn",1984,10
486958368-2,Stopped on Track,Sydney Chrstine,Russel-Wyman,2001,66
457962593-5,Starflight: The Plane That Couldn't Land,Innis Harp,Hermann-Cremin,2012,61
769897036-1,"Cowboys, The",Ingmar Redolfi,Miller Inc,1967,11
777508418-9,Rich and Famous,Russ Avory,Walsh Group,2003,82
188671547-5,Harvest,Rollie Seymark,Bayer-Muller,2009,60
619682950-5,Insanitarium,Althea Ramas,Langosh LLC,1999,85
123215649-3,Green for Danger,Gunter Dubs,"Powlowski, Jacobs and Raynor",1997,9
846931064-X,Ruthless People,Daryn Whiston,"Blanda, Towne and Jacobson",2006,54
998160747-9,Final Destination 3,Vonny Laterza,Lynch LLC,2009,14
161821493-4,Tea with Mussolini,Franni Aimable,Rutherford and Sons,2000,49
978453189-5,House of the Rising Sun,Clementine Harman,Bins-Labadie,1970,3
933323116-1,Songcatcher,Lenci Jestico,"Prosacco, Reichert and White",2010,50
155055451-4,Blood Moon,Shoshana Semmens,Langosh-Johnson,2002,83
936249550-3,Can't Hardly Wait,Hy Wiltsher,Greenholt Inc,2011,17
803262872-X,Seance on a Wet Afternoon,Margo Coggin,Marks LLC,1994,38
960247091-7,Certified Copy (Copie conforme),Odey Simeoni,Kerluke-Olson,1993,36
536044872-5,Pascali's Island,Tallou Rossoni,"Gutmann, Feil and Wiza",1989,58
537604577-3,Some Girls,Margeaux Whiteside,Larkin Inc,1990,33
075519791-7,"Expendables 2, The",Theodor Waltho,Daniel-Yundt,1992,67
558490071-0,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The)",Issiah Serrier,Langosh Inc,2001,92
826622942-2,Walking and Talking,Westbrook Kippling,Sporer Group,2008,40
469667606-4,Fort Bliss,Gloriane Archibald,"Yundt, Wolf and Senger",1999,100
709909265-0,"Garden, The",Caty Gye,McCullough-Huels,2011,13
030051108-6,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Theo Kleisle,"Conn, Lockman and Lockman",2001,90
521372463-9,"Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)",Camille Bohills,"Conn, Bauch and Mosciski",1990,28
055848101-9,Pet Sematary II,Gusella McReynold,Reichert and Sons,2004,15
394781485-2,"Nights of Cabiria (Notti di Cabiria, Le)",Tommie Cufflin,Sawayn-Moen,1998,62
050577374-0,Bloody Pit of Horror (Il boia scarlatto) (Virgins for the Hangman),Morganne d' Elboux,Anderson LLC,2008,21
785536161-8,"Secret Life of Walter Mitty, The",Bertha Riolfo,Kunze-Altenwerth,2002,8
049553006-9,Ed,Cilka Skamal,"Keeling, Lynch and Jerde",2011,59
947843676-7,Hush!,Ellswerth Tabourel,Veum-Lynch,1964,52
326649050-9,Trailer Park Jesus,Lari Jirasek,Hammes-Douglas,2011,35
475659341-0,Fallen Angels (Duo luo tian shi),Ashlee Crunkhurn,Bashirian LLC,2010,13
016955788-X,"Trial, The (Procès, Le)",Harald Pinnijar,"Jakubowski, Klocko and Schaefer",1993,62
051663867-X,"Cove, The",Maurita Simone,Hayes LLC,2004,56
099303950-2,"Christmas Story 2, A",Rosalia Fouch,Kuhlman-Lehner,1996,53
167797476-1,"Cat's-Paw, The",Rodger Waszczykowski,"Prosacco, Kohler and O'Hara",2000,59
802938281-2,The Oblong Box,Teresita Murray,Littel-Heller,1994,17
410267030-0,Tea with Mussolini,Arabela Spenley,Satterfield-Grady,2000,45
485606131-3,Django Unchained,Hillyer Feast,"Donnelly, Rippin and Haag",1994,65
328472984-4,My Life in Ruins,Nixie Archdeacon,"Considine, Hayes and Veum",1994,86
058975236-7,"Rendez-vous d'Anna, Les (Meetings of Anna, The)",Hailee Wisbey,"Hamill, McLaughlin and Bailey",2006,40
